sender,subject,body,text,label,label_name
info@lottery-winner.co,FREE iPhone 15 - Claim Now!,"FINAL NOTICE: This is your last chance to pay your outstanding debt of $2,847. Failure to respond will result in LEGAL ACTION. Contact us immediately to avoid consequences.","Subject: FREE iPhone 15 - Claim Now!

FINAL NOTICE: This is your last chance to pay your outstanding debt of $2,847. Failure to respond will result in LEGAL ACTION. Contact us immediately to avoid consequences.",1,spam
team@startup.io,Meeting at 3pm today,Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.,"Subject: Meeting at 3pm today

Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.",0,ham
info@lottery-winner.co,Click here to claim your prize,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Click here to claim your prize

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
hr@office.org,Welcome to the team,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Welcome to the team

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
noreply@verify-account.xyz,Hot singles in your area,"FINAL NOTICE: This is your last chance to pay your outstanding debt of $2,847. Failure to respond will result in LEGAL ACTION. Contact us immediately to avoid consequences.","Subject: Hot singles in your area

FINAL NOTICE: This is your last chance to pay your outstanding debt of $2,847. Failure to respond will result in LEGAL ACTION. Contact us immediately to avoid consequences.",1,spam
noreply@verify-account.xyz,Urgent: Your account needs verification,"CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!","Subject: Urgent: Your account needs verification

CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!",1,spam
noreply@airline.com,Flight confirmation,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Flight confirmation

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
prize@winner-notify.com,Your subscription expires today,You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.,"Subject: Your subscription expires today

You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.",1,spam
team@startup.io,Meeting at 3pm today,Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.,"Subject: Meeting at 3pm today

Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.",0,ham
prize@winner-notify.com,Your subscription expires today,URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.,"Subject: Your subscription expires today

URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.",1,spam
friend@gmail.com,Question about the report,"Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.","Subject: Question about the report

Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.",0,ham
offer@deals-today.biz,Lose 30 pounds in 30 days,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Lose 30 pounds in 30 days

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
hr@office.org,Team standup notes,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Team standup notes

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
noreply@airline.com,Flight confirmation,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Flight confirmation

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
john.doe@company.com,Meeting at 3pm today,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Meeting at 3pm today

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
friend@gmail.com,Weekend plans,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Weekend plans

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
friend@gmail.com,Follow-up from our call,"Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.","Subject: Follow-up from our call

Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.",0,ham
john.doe@company.com,Happy Birthday!,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Happy Birthday!

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
noreply@verify-account.xyz,"YOU HAVE WON $1,000,000!!!",Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!,"Subject: YOU HAVE WON $1,000,000!!!

Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!",1,spam
info@lottery-winner.co,Work from home - $5000/week GUARANTEED,Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net,"Subject: Work from home - $5000/week GUARANTEED

Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net",1,spam
john.doe@company.com,Reminder: dentist appointment,Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.,"Subject: Reminder: dentist appointment

Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.",0,ham
admin@free-money.net,"YOU HAVE WON $1,000,000!!!","EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: YOU HAVE WON $1,000,000!!!

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
